Test Case ID,Description,Pre-conditions,Steps Taken,Expected Output,,Actual Output,Comments,Tester,Date Tested,Version
t2.6.12,Leave All Required Loan Details Empty – Continue Disabled,,Automated (Robot Framework): tests/2_customers/,"Verify that with all Loan Details fields empty, the Continue button stays disabled and the user cannot proceed.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.13,Leave Loan Amount Empty – Validation Error,,Automated (Robot Framework): tests/2_customers/,Verify that leaving only Loan Amount empty triggers an inline error and keeps the Continue button disabled.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.14,Leave Loan Term Length Empty – Validation Error,,Automated (Robot Framework): tests/2_customers/,Verify that leaving Loan Term Length empty triggers an inline error and keeps the Continue button disabled.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.15,Leave Mode of Disbursement Empty – Validation Error,,Automated (Robot Framework): tests/2_customers/,Verify that leaving Mode of Disbursement unselected keeps the Continue button disabled.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.16,Enter Non-Numeric Loan Amount – Input Rejected,,Automated (Robot Framework): tests/2_customers/,Verify that AntD InputNumber auto-rejects alphabetic input in the Loan Amount field (the value is never saved) and Continue stays disabled.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.17,Enter Zero or Negative Loan Amount,,Automated (Robot Framework): tests/2_customers/,Verify that entering 0 or a negative Loan Amount is rejected (AntD InputNumber clamps to aria-valuemin or surfaces an inline error) and Continue stays disabled.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.18,Enter Zero or Negative Loan Term Length,,Automated (Robot Framework): tests/2_customers/,Verify that AntD InputNumber rejects a negative Loan Term Length: the minus sign is stripped (aria-valuemin=0 prevents negative values).,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.19,Leave Required Custom Fields Empty – Loans Availment,,Automated (Robot Framework): tests/2_customers/,Verify that leaving the required Employer Name custom field empty keeps the Continue button disabled even when all Loan Details fields are filled.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.20,Enter Invalid Data Format in Custom Fields – Loans Availment,,Automated (Robot Framework): tests/2_customers/,Verify that a numeric custom field (if present) rejects alphabetic input. Skipped when the product has no numeric custom field.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,SKIP — No numeric custom field found on Regular Home Loan — test requires a product with a numeric field,QA-Jo,9/11/26,
t2.6.21,Exit Loans Availment Flow Mid-Process – Confirm Discard,,Automated (Robot Framework): tests/2_customers/,"Verify that navigating away mid-flow prompts a leave-page confirmation, and that restarting the avail flow after confirming discards presents a clean empty form.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.23,Use Browser Back Button During Loans Availment Flow,,Automated (Robot Framework): tests/2_customers/,Verify that pressing the browser Back button from the Review step leaves the app on a valid state (Customer Information step or customer profile) without duplicate submissions.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.1 Loan Listing,,,,,,,,,,
t7.1.1,Access the Loans module and view the list of active loans,,Automated (Robot Framework): tests/7_loans/,,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.2,Access the Loans module and view the list of pending loan applications,,Automated (Robot Framework): tests/7_loans/,,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.3,Access the Loans module and view the list of pending disbursement applications,,Automated (Robot Framework): tests/7_loans/,,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.4,Access the Loans module and view the list of rejected loan applications,,Automated (Robot Framework): tests/7_loans/,,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.5,Pagination and Navigation - Active Loans,,Automated (Robot Framework): tests/7_loans/,"Verify pagination on Active Loans: Next loads page 2, page 3 if present, Back returns. Skipped when only one page exists.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.6,Pagination and Navigation - Pending Applications,,Automated (Robot Framework): tests/7_loans/,Verify pagination on Pending Applications.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.7,Pagination and Navigation - Pending Disbursements,,Automated (Robot Framework): tests/7_loans/,Verify pagination on Pending Disbursements.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.8,Pagination and Navigation - Rejected Loans,,Automated (Robot Framework): tests/7_loans/,Verify pagination on Rejected Loans.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.9,Search Active Loans by Account Number,,Automated (Robot Framework): tests/7_loans/,Search Active Loans by a known account number and verify at least one matching row is returned. Clears the search at the end.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.10,Search Pending Applications by Customer Name,,Automated (Robot Framework): tests/7_loans/,Search Pending Applications by a known customer name and verify at least one matching row is returned. Clears the search at the end.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.11,Search Pending Disbursements by Customer Name,,Automated (Robot Framework): tests/7_loans/,Search Pending Disbursements by a known customer name and verify at least one matching row is returned. Clears the search at the end.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.12,Search Rejected Loans by Customer Name,,Automated (Robot Framework): tests/7_loans/,Search Rejected Loans by a known customer name and verify at least one matching row is returned. Clears the search at the end.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.1.13,Execute Processing Workflow Actions for Loan Records,,Automated (Robot Framework): tests/7_loans/,,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.2 Loan Approval and Rejection,,,,,,,,,,
t7.2.1,Verify Teller can review full application details for a pending loan,,Automated (Robot Framework): tests/7_loans/,"Open the application detail modal via the Approve row button and verify the modal title, Customer Form fields, Customer Details fields, and the Approve this application button are all visible. Closing the modal via Back leaves the application in Pending status.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.2.2,Verify Teller can finalize approval by clicking Approve this application,,Automated (Robot Framework): tests/7_loans/,"Open the application detail modal, click Approve this application, verify the modal closes and a success toast appears, and confirm the application is moved to Pending Disbursement.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.2.3,Verify Teller can review application details before rejecting a loan,,Automated (Robot Framework): tests/7_loans/,"Open the application detail modal via the Reject row button and verify the modal title, Customer Form fields, Customer Details fields, and the Reject this application button are all visible. Closing the modal via Back leaves the application in Pending status.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.2.4,Verify mandatory remarks modal appears when rejecting an application,,Automated (Robot Framework): tests/7_loans/,"Click Reject this application, verify the Add remarks modal opens with a remarks textarea, and confirm the Submit & reject button is disabled while remarks are empty.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.2.5,Verify final rejection and success toast message,,Automated (Robot Framework): tests/7_loans/,"Enter a valid rejection reason, click Submit & reject, and verify the modal closes, a success toast appears, and the record is moved to Rejected Applications.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.2.6,Verify Rejected Applications page layout and columns,,Automated (Robot Framework): tests/7_loans/,"Navigate to the Rejected Applications page and verify the search bar and the required columns (Customer ID, Customer Name, Loan Name, Loan Category, Total Loan Amount, Rejected by, Rejection Remarks) are visible.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.2.7,Verify navigation when clicking the Back button in loan modals,,Automated (Robot Framework): tests/7_loans/,Verify that Back on the application detail modal returns to Pending Applications and that Back on the Add remarks modal returns to the previous application detail modal.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.2.8,Verify Teller can view approved loan details in the Customer Profile,,Automated (Robot Framework): tests/7_loans/,Verify that an approved loan appears in the customer's Products Availed tab with status Active. Relies on at least one previously approved loan for Warren Giltendez.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.2.9,Verify Separation of Duties – Same Teller Cannot Approve Own Application,,Automated (Robot Framework): tests/7_loans/,"Log out, log in as the loan creator, attempt to approve a pending application for the same customer, and verify the server-side error blocks the approval.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.2.10,Verify Separation of Duties – Same Teller Cannot Reject Own Application,,Automated (Robot Framework): tests/7_loans/,"Forces a fresh page reload to ensure a clean state, authenticates using the default teller credentials configuration, attempts to reject a pending application for the same customer, and verifies the same-user rejection error blocks the action.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/12/26,
t7.3 Loan Disbursements,,,,,,,,,,
t7.3.1,Pending Disbursement list shows latest approved loan at the top,,Automated (Robot Framework): tests/7_loans/,"Verifies that the most recently approved loan appears on the very first row of the pending disbursements ledger table, and checks column integrity.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.3.2,Newly approved loan shows View and Disburse Payment options in Pending Disbursement,,Automated (Robot Framework): tests/7_loans/,Ensures the targeted entry possesses both actionable workflow controls within its designated operational matrix row.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.3.3,Clicking 'View' in Pending Disbursements opens the loan application details,,Automated (Robot Framework): tests/7_loans/,Clicks the summary view trigger and inspects the read-only application details data block.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.3.4,Disburse Payment modal displays loan details pre-filled from availment,,Automated (Robot Framework): tests/7_loans/,Validates that the processing panel accurately inherits immutable core financial records populated during structural approval.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.3.5,Confirming disbursement generates a loan account with complete loan details,,Automated (Robot Framework): tests/7_loans/,"Executes fulfillment workflow using historical setup records, handles account routing mode fields, and validates successful completion.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.3.6,Successfully disbursed loan appears in Active Loans with View Schedule and Pay options,,Automated (Robot Framework): tests/7_loans/,Ensures the finalized contract has migrated cleanly to the Active Loans ledger and exposes the 'View Schedule' and 'Pay Now' actionable controls.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.3.7,Clicking 'Back' in the Disburse Payment modal cancels disbursement and returns to list,,Automated (Robot Framework): tests/7_loans/,Tests execution rejection path safety to ensure state caching anomalies are avoided.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.4 Loan Schedule,,,,,,,,,,
t7.4.1,Verify navigation and page redirection to the Loan Schedule via the Active Loans grid,,Automated (Robot Framework): tests/7_loans/,"Identifies a valid active loan row, clicks View Schedule, and validates the system successfully routes to the schedule dashboard.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.4.2,Verify accuracy of identifying information in the Schedule header view,,Automated (Robot Framework): tests/7_loans/,Validates the dynamic layout breadcrumbs and header text strictly reflect the selected loan account parameters.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.4.3,Verify structural metrics and components inside the Payment Status card,,Automated (Robot Framework): tests/7_loans/,"Evaluates the data tracking blocks, circular chart attributes, and the presence of the embedded payment action trigger.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.4.4,Verify data parameters listed inside the Loan Details block,,Automated (Robot Framework): tests/7_loans/,"Checks the right-hand metadata component to ensure accurate calculation mappings are displayed for amortization, interest, and the originating disburser.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.4.5,Verify layout behavior for the Payments Made table when no payment history exists,,Automated (Robot Framework): tests/7_loans/,Inspects the bottom transactions matrix for the correct columns and the specific empty-state inbox illustration/message for fresh accounts.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.5 Loan Repayment Processing,,,,,,,,,,
t7.5.1,Make Payment modal opens with correct loan details when Pay Now is clicked from Active Loans,,Automated (Robot Framework): tests/7_loans/,Verifies contextual loading information parameters of the default collection overlay block.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.2,Teller can process a loan payment using Cash as the Mode of Payment,,Automated (Robot Framework): tests/7_loans/,Validates UI behavior changes when choosing cash.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.3,Payment summary values are correctly computed for a Cash payment before confirmation,,Automated (Robot Framework): tests/7_loans/,"Dynamically extracts modal balance values, strips formatting, and asserts that the math for the new outstanding balance is perfectly accurate.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.4,Completed Cash payment logs Debit Account as N/A and Credit Account as the customer's loan account,,Automated (Robot Framework): tests/7_loans/,Fulfills transaction process pipeline and audits downstream book entries in the Transactions module.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.5,Repayment progress percentage updates correctly after a new payment is recorded,,Automated (Robot Framework): tests/7_loans/,Validates dynamic dashboard calculation updates.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.6,Teller can select Savings as Mode of Payment and a Source of Funds dropdown appears,,Automated (Robot Framework): tests/7_loans/,Ensures structural state mutations present extra selection interfaces for banking items.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.7,Source of Funds dropdown lists all active Higala savings accounts linked to the customer,,Automated (Robot Framework): tests/7_loans/,Inspects balance records and constraints within dynamic overlays.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.8,Payment summary values are correctly computed for a Savings Account payment before confirmation,,Automated (Robot Framework): tests/7_loans/,Ensures processing balance states accurately calculate ledger offsets.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.9,Completed Savings payment logs the selected savings account as Debit and the customer's loan account as Credit,,Automated (Robot Framework): tests/7_loans/,Executes processing pipeline via deposit account tracking verification flags in the Transactions module.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.10,Clicking Pay Now displays a confirmation modal before finalizing the payment,,Automated (Robot Framework): tests/7_loans/,Verifies safety gates hold transactions back before formal commitment actions occur.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.11,Cancelling the confirmation modal returns to the Make Payment modal without processing the payment,,Automated (Robot Framework): tests/7_loans/,Verifies that backing out of the confirmation safety checkpoint leaves the transaction form uncommitted.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.12,Clicking Cancel on the Make Payment modal closes it without processing any payment,,Automated (Robot Framework): tests/7_loans/,Verifies form abandonment policies exit cleanly back to the schedule domain layout.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.13,Payment via Savings is rejected when the selected savings account balance is less than the amount to pay,,Automated (Robot Framework): tests/7_loans/,Validates ledger balance check safety guards block execution when funding limits are breached.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.14,Pay Now button remains disabled when Mode of Payment is not selected,,Automated (Robot Framework): tests/7_loans/,Enforces baseline interactive control constraints when mode parameters are missing.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.5.15,Pay Now button remains disabled when Mode of Payment is Savings but no Source of Funds account is selected,,Automated (Robot Framework): tests/7_loans/,Ensures compound validation sequences keep form operations locked until routing targets exist.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t7.6 Loan Payment History,,,,,,,,,,
t7.6.1,View Schedule displays all past payments made by a customer who has at least 1 payment,,Automated (Robot Framework): tests/7_loans/,Verifies that the historical payments table loads all critical column tracking indicators cleanly.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.6.2,Payments Made table correctly displays the teller who processed each payment,,Automated (Robot Framework): tests/7_loans/,Audits the Processed By column to ensure it logs actual system operators rather than system placeholders.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.6.3,View Schedule displays a repayment progress indicator showing total paid vs. total loan amount,,Automated (Robot Framework): tests/7_loans/,Validates presence of circular payment progress context parameters.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.6.4,Payments Made section shows an empty state when no payments have been made yet,,Automated (Robot Framework): tests/7_loans/,Ensures zero-state layouts do not crash or render broken structures when data array payloads are empty.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.6.5,Repayment progress shows 0% when no payments have been made on the loan,,Automated (Robot Framework): tests/7_loans/,Verifies data bindings on metrics display cards hold firm at zero balance bounds.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.6.6,Repayment progress percentage updates correctly after a new payment is recorded,,Automated (Robot Framework): tests/7_loans/,Verifies incremental balance adjustments step metrics up smoothly across ledger entries.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.6.7,View Schedule displays the Loan Details panel with monthly amortization amount and interest rate,,Automated (Robot Framework): tests/7_loans/,Validates static underwriting terms display correctly within the right panel block.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.6.8,View Schedule page header shows the correct loan account number and customer name,,Automated (Robot Framework): tests/7_loans/,Audits document header bindings to maintain tracking context.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.6.9,Clicking View Transaction Details opens a modal with complete payment details for that transaction,,Automated (Robot Framework): tests/7_loans/,Asserts deep audit log view drill-downs launch item breakdown modal overlays.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.6.10,Transaction details modal displays the correct uploaded proof of payment file,,Automated (Robot Framework): tests/7_loans/,Inspects modal asset payload items to protect dynamic tracking elements.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.6.11,Transaction details modal values are accurate — Principal + Interest equals Total Amount Paid,,Automated (Robot Framework): tests/7_loans/,Performs explicit float computation checking on ledger breakdown mappings.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,FAIL — product defect: Total Amount Paid double-counts interest (Total=Principal+2×Interest). GitHub #35,QA-Jo,9/10/26,
t7.6.12,Clicking Back in the Transaction Details modal closes it and returns to the View Schedule page,,Automated (Robot Framework): tests/7_loans/,Ensures structural layout safety gates reset cleanly without purging underlying table instances.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
t7.6.13,Pay Now button is visible and functional on the View Schedule page,,Automated (Robot Framework): tests/7_loans/,Verifies that the collection payment workflow entry point can be cleanly accessed from inside the schedule view.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/10/26,
