Test Case ID,Description,Pre-conditions,Steps Taken,Expected Output,,Actual Output,Comments,Tester,Date Tested,Version
t1.1.21,Reset Password - Verify that the user's email is blocked for 60 minutes after 3 unverified Reset Password OTP sessions with 5 invalid attempts per session,"1.User is registered.
2. Email is not currently blocked.
","1. Initiate Reset Password Session #1
 - Enter 5 incorrect OTP(s)
2. Initiate Reset Password Session #2
 - Enter 5 incorrect OTP(s)
3. Initiate Reset Password Session #3
 - Enter 5 incorrect OTP(s)

4. Attempt to initiate Reset Password Session #4
5. Click ""CONFIRM""","1. After the 3rd unverified OTP session, if all 3 occurred within 15 minutes, the system blocks the user's email for 60 minutes.

2. After the 3rd unverified session, an error message is displayed:
""You have exceeded the maximum number of OTP attempts. You can try again in 59 mins.""

3. Any attempt in resetting the password during the block period should return an error message:

""You have exceeded the maximum number of OTP attempts. You can try again in <time remaining> minutes.""

4. Clicking ""CONFIRM"" will close the modal and user is still on the Reset Password page

5. Email sent to the costomer.
Subject: Security Notice: Unusual Activity Detected on Your Account

Body:
Hi <Teller Name>,

We noticed several attempts to access your account that exceeded our security limits. To help keep your account safe, we’ve temporarily locked it as a precaution.

If these attempts were made by you, no further action is needed. You can try signing in again after the cooldown period. If you need immediate access, please contact <replace customer support email> for assistance with resetting your account.",,,manual,Peach,9/16/26,
t1.1.22,Reset Password- Verify that the user's email is blocked for 60 minutes after 3 unverified Reset Password OTP sessions (abandoned sessions),"1.User is registered.
2. Email is not currently blocked.
","1. Initiate Reset Password Session #1
 - Leave the OTP input field blank
 - Cancel the OTP verification and go back to login page.

2. Initiate Reset Password Session #2
 - Leave the OTP input field blank
 - Cancel the OTP verification and go back to login page.

3. Initiate Reset Password Session #3
 - Leave the OTP input field blank
 - Cancel the OTP verification and go back to login page.

4. Attempt to initiate Reset Password Session #4","1. After the 3rd unverified OTP session, if all 3 occurred within 15 minutes, the system blocks the user's email for 60 minutes.

2. After the 3rd unverified session, an error message is displayed:
""You have exceeded the maximum number of OTP attempts. You can try again in 59 mins.""

3. Any attempt in resetting the password during the block period should return an error message:

""You have exceeded the maximum number of OTP attempts. You can try again in <time remaining> minutes.""

4. Clicking ""CONFIRM"" will close the modal and user is still on the Login page

5. Email sent to the costomer.
Subject: Security Notice: Unusual Activity Detected on Your Account

Body:
Hi <Teller Name>,

We noticed several attempts to access your account that exceeded our security limits. To help keep your account safe, we’ve temporarily locked it as a precaution.

If these attempts were made by you, no further action is needed. You can try signing in again after the cooldown period. If you need immediate access, please contact <replace customer support email> for assistance with resetting your account.",,,manual,Peach,9/16/26,
t1.1.23,Reset Password - Verify that a user receives a blocking error message when trying to reset password through Reset Password process with an email address that is currently blocked.,1. The user's email has been blocked due to failed OTP attempts ,"1. During the 60-minute blocking period, attempt to reset password using the blocked email address multiple times.
2. Observe the system’s response.","1. System does not proceed with OTP generation.

2. A clear error message is displayed indicating the email is blocked:

""You have exceeded the maximum number of OTP attempts. You can try again in <time remaining> minutes.""

3. Each time the user attempts to initiate forgot password while the email is still blocked, the system displays the same error message, with the remaining block time updated accordingly.",,,manual,Peach,9/16/26,
t1.1.24,Reset Password - Verify that a user can reset password successfully through Reset password  with a valid OTP after the 60-minute block period has expired.,1. The user's email was blocked and 60 minutes have passed.,"1. Wait until 60 minutes have passed since the block was applied.
2. Attempt to initiate Reset Password using the same email.
3. Enter the correct OTP.","1.Forgot password process resumes normally.
2. OTP is sent and validated successfully.
3. Password update is successful..",,,manual,Peach,4/23/26,
t1.1.25,Reset Password - Verify that the system does not block the user if they input a valid OTP on the 5th attempt during the 3rd Reset Password OTP  session,"1. User is registered.
2. Two previous Reset password sessions have already occurred, both unverified and/or expired.
5. Each session allows up to 5 OTP attempts.","1. Initiate Reset password Session #3
2. Enter 4 incorrect OTPs.
3. On the 5th attempt, enter the correct OTP.
4. Observe the outcome of the session.","1. Session #3 is considered verified.
2. Blocking is not triggered (since only 2 sessions were unverified in last 10 minutes).",,,manual,Peach,9/16/26,
t1.1.26,Reset Password - Verify that the system does not block the user if the 3 unverified Reset Password OTP sessions span more than 15 minutes,"1.User is registered.
2. Email is not currently blocked.
3. Blocking occurs only after 3 unverified sessions within 10 minutes.","1. Start Session #1
 - Time: 00:00:00
 - Enter 2 incorrect OTPs then exit
 - Ends at: 00:05:00 min

2. Start  Session #2
 - Time: 00:05:00 min
 - Request OTP.
 - Enter 2 incorrect OTPs then exit
 - Ends at: 00:10:00 min

3. Wait for 5 mins
 - Time: 00:10:00 min
 - Ends at 00:15:00 min

4. Start Session #3
- Time: 00:16:00 min
- Enter incorrect OTPs then exit.
- Ends at: 00:20:00 mins

5. Start Session #4
 - Time: 00:20:00 or 00:21:00  min
 - Attempt to initiate Reset Password session using the same email.","1. The system does not block the user.

2. The system evaluates the previous sessions:

 - Session #1: ended at 00:05

 - Session #3: started at 00:16 → more than 15 minutes since #1 ended

Therefore, the 3 unverified sessions do not fall within a 15-minute window.

3. Session #4 is allowed.

4. OTP is sent normally.

5. No blocking error is shown.",,,manual,Peach,4/23/26,
t1.2 Login,,,,,,,,,,
t1.2.1,Normal Login with Valid Existing Credentials,"1. User account is active and has a valid password or has already reset the password.
2. User is on the login page.","1. Enter valid email.
2. Enter valid password.
3. Click LOG IN button.",1. User is successfully logged in and redirected to the default landing page (Customers module).,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,"in this run, tests after t1.2.5 failed because of rate limit, separate run is done for other tCs",Peach,9/11/26,
t1.2.2,Verify system treats email addresses as case-insensitive during login,"1. User account is active with a valid password.
2. User is on the login page.","1. Enter valid email in mixed-case/uppercase/lowercase format.
2. Enter the current valid password.
3. Click LOG IN.","1. User is successfully authenticated.

2. User is redirected to the Customers module dashboard.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,"in this run, tests after t1.2.5 failed because of rate limit, separate run is done for other tCs",Peach,9/11/26,
t1.2.3,Login with Invalid Email,User is on the login page.,"1. Enter an email that is not registered.
2. Enter any password.
3. Click LOG IN button.","1. Error message is displayed:
""Incorrect email address or password, please try again.""

2. User is not logged in.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,"in this run, tests after t1.2.5 failed because of rate limit, separate run is done for other tCs",Peach,9/11/26,
t1.2.4,Login with Incorrect Password,"1. Valid email exists in the system.
2. User is on the login page.","1. Enter valid email.
2. Enter an incorrect password.
3. Click LOG IN button.","1. Error message is displayed:
""Incorrect email address or password, please try again.""

2. User is not logged in.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,"in this run, tests after t1.2.5 failed because of rate limit, separate run is done for other tCs",Peach,9/11/26,
t1.2.5,Login with Blank Email and Password,User is on the login page.,"1. Leave email and password fields blank.
2. Click LOG IN button.","1. The LOG IN button should still be disabled.
2. User is not logged in.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,"in this run, tests after t1.2.5 failed because of rate limit, separate run is done for other tCs",Peach,9/11/26,
t1.2.6,Session Timeout - Standard Inactivity (Desktop),"1. User is successfully logged in to the Higala Alegre Dashboard. 
2. The user is on the Customers module or any active page.","1. Log in successfully. 
2. Navigate to a stable page (e.g., Customers). 
3. Leave the browser tab/application open and idle for 5 minutes and 1 second (5:01). 
4. Attempt to click a link or button","1. The user's session should be automatically terminated. 
2. The user should be immediately redirected to the Login page with the modal: 

""Session Expired
For security reasons, you need to sign in again to continue using the app.""",,,manual,Peach,9/11/26,
t1.2.7,Session Timeout - Activity Resets Timer,"1. User is successfully logged in. 
2. The user is on an active page.","1. Log in successfully. 
2. Leave the application/browser open and idle for 4 minutes and 50 seconds (4:50). 
3. Perform a non-destructive action (e.g., navigate from ""Customers"" to ""Accounts""). 
4. Wait an additional 30 seconds. 
5. Attempt to perform another action","1. The activity in step 3 should successfully reset the 5-minute inactivity timer. 
2. The user should remain logged in and successfully complete the action in step 5, confirming the session did not expire.",,,manual,Peach,9/11/26,
t1.2.8,Session Timeout - Backgrounded Tab/Minimized Window,"1. User is successfully logged in to the Higala Alegre Dashboard. 
2. The user is on the Customers module.","1. Log in successfully. 
2. Minimize the browser window OR switch to a different browser tab/application. 
3. Leave the Higala tab inactive for 5 minutes and 1 second (5:01). 
4. Restore the Higala tab","1. The user's session should be automatically terminated regardless of the browser state (minimized/backgrounded tab). 
2. The user should be immediately redirected to the Login page with the modal: 

""Session Expired
For security reasons, you need to sign in again to continue using the app.""",,,manual,Peach,9/11/26,
t1.2.9,Verify account is not blocked when user has Incorrect attempts but under threshold,"1. User is on the login page.
2. User has a valid account.","1. Enter incorrect credentials 4 times consecutively.
2. On the 5th attempt, enter the correct credentials.","1. For the invalid attempts, the system displays the login error message. The user may retry until the 5th attempt.
2. On the 5th attempt with vlid creds, the system successfully processes the credentials redirects the user to the home page.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,rerun due to rate limit in first attempt,Peach,9/11/26,
t1.2.10,Verify account is blocked after 5 consecutive failed login attempts,"1. User is on the login page.
2. User has a valid account.",1. Enter incorrect password 5 times consecutively.,"1. On the 5th failed attempt, system blocks the account.
2. Displays message: “This account has reached the maximum number of login attempts. Please try again after 5 minutes.”
3. All further login attempts denied during cooldown.
4. Email is sent to the customer.
Subject: Security Alert: Your Account Has Been Temporarily Locked

Body:
Hi <Teller Name>,

Your account has been locked after several incorrect password entries. This is a standard security measure to protect your credentials and the bank’s systems.

If this activity was not done by you, please report it immediately to support@higala.ph.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,rerun due to rate limit in first attempt,Peach,9/12/26,
t1.2.11,Verify blocked account cannot log in during 5-minute cooldown,"1. User is on the login page.
2. Account blocked due to 5 failed attempts.
3. 5-minute cooldown not expired.",1. Try logging in with correct credentials during cooldown.,"1. Login is denied.
2. Message:  “This account has reached the maximum number of login attempts. Please try again after 5 minutes.”",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,rerun due to rate limit in 1st and 2nd attempt,Peach,9/11/26,
t1.2.12,Verify account automatically unlocks after cooldown,"1. User is on the login page.
2. Account previously blocked due to failed attempts.
3. 5 minutes passed.",1. Log in with valid credentials after cooldown expires.,1. The system successfully processes the credentials and user is redirected to the home page.,,,manual,Peach,9/11/26,
t1.2.13,Verify failed attempt counter persists across sessions/devices,1. User failed login 3 times on Device A.,1. Attempt login with same account on Device B using wrong password 2 times.,"1. Counter continues from Device A (e.g., 4th attempt).
2. Account blocks on 5th attempt overall.",,,simulated by using 2 different browsers,Peach,9/11/26,
t1.2.14,Verify blocking applies per account (not per device/IP),1. Account is blocked on Device A.,1. Attempt login on Device B.,"1. Login blocked.
2. Message indicates account-level lockout.",,,simulated by using 2 different browsers,Peach,9/11/26,
t1.2.15,Verify password reset during block period lifts block,1. Account blocked after failed attempts.,"1. Perform Forgot Password.
2. Reset password.
3. Log in with new credentials.","1. Login successful even before cooldown ends.
2. Counter resets.
3. Block lifted automatically.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.2.16,Verify counter resets to zero after successful login ,1. User is on login page.,"1. Enter incorrect credentials 4 times consecutively.
2. On the 5th attempt, enter the correct credentials.
3. Enter incorrect credentials 5 times consecutively.","1. After a successful login, user can have another max 5 attempts.
2. On the 5th attempt, user is now blocked.
3. Email is sent to the customer. 
Subject: Security Notice: Unusual Activity Detected on Your Account

Body:
Hi <Teller Name>,

We noticed several attempts to access your account that exceeded our security limits. To help keep your account safe, we’ve temporarily locked it as a precaution.

If these attempts were made by you, no further action is needed. You can try signing in again after the cooldown period. If you need immediate access, please contact <replace customer support email> for assistance with resetting your account.",,,manual,Peach,9/11/26,
t1.2.17,Verify failed login with incorrect email address,1. User is on login page.,1. Login using incorrect or unregistered email and any password 5 times consecutively.,"1. On the 5th failed attempt, system blocks the account.
2. Displays message: “This account has reached the maximum number of login attempts. Please try again after 5 minutes.”
3. All further login attempts denied during cooldown.
4. Email is sent to the customer. 
Subject: Security Notice: Unusual Activity Detected on Your Account

Body:
Hi <Teller Name>,

We noticed several attempts to access your account that exceeded our security limits. To help keep your account safe, we’ve temporarily locked it as a precaution.

If these attempts were made by you, no further action is needed. You can try signing in again after the cooldown period. If you need immediate access, please contact <replace customer support email> for assistance with resetting your account.",,,manual,Peach,9/12/26,
t1.2.18,Verify failed login with incorrect temporary password,1. Account is under password reset flow.,1. Enter correct email but invalid temporary password 5 times consecutively.,"1. On the 5th failed attempt, system blocks the account.
2. Displays message: “This account has reached the maximum number of login attempts. Please try again after 5 minutes.”
3. All further login attempts denied during cooldown.
4. Email is sent to the customer. 
Subject: Security Notice: Unusual Activity Detected on Your Account

Body:
Hi <Teller Name>,

We noticed several attempts to access your account that exceeded our security limits. To help keep your account safe, we’ve temporarily locked it as a precaution.

If these attempts were made by you, no further action is needed. You can try signing in again after the cooldown period. If you need immediate access, please contact <replace customer support email> for assistance with resetting your account.",,,manual,Peach,9/12/26,
t1.2.20,Verify user can logout successfully,"1. User is logged in.
2. User is anywhere on the web app.","1. In the left sidebar, click ""Logout""","1. User logs out successfully.
2. User is redirected to the login page.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/12/26,
t1.3 Forget Password,,,,,,,,,,
t1.3.1,Reset Password via Forgot Password,"1. The user is registered as a Teller user.
2. The user is on the login page at:
","1. Click on ""Forgot password?""
2. Enter email
3. Click on SEND VERIFICATION CODE button
4. Enter OTP received via email
5. Click on CONTINUE
6. Enter the new password
7. Re-enter the new password
8. Click on RESET PASSWORD button","1. A modal is displayed with the message:
""Success! Password has been changed successfully."" ",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/12/26,
t1.3.2,Verify system treats email addresses as case-insensitive during Forgot Password,"1. User is registered as a Teller user.

2. User is on the login page.","1. Click ""Forgot password?"".
2. Enter email in mixed-case/uppercase/lowercase format.
3. Click SEND VERIFICATION CODE.
4. Enter OTP from email and click CONTINUE.
5. Enter and confirm a new password.
6. Click RESET PASSWORD.","1. System recognizes the email and sends the OTP.
2. A modal displays: ""Success! Password has been changed successfully.""",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.3.3,Forgot Password with Unregistered Email,1. The user is on the login page:https://alegre-dashboard.int.itg.higala.ph/rural-bank-san-antonio/login,"1. Click Forgot password?
2. Enter an unregistered or invalid email.
3. Click SEND VERIFICATION CODE.","1. Error message is displayed:
""Email address is invalid, please try again.""

2. OTP is not sent.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.3.4,Forgot Password – Blank Email Field,"1. User is on the Reset your password screen after clicking ""Forgot Password?""","1. Type email 
2. Then delete email input","1. Error message is displayed 
""Email is required.""",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.3.5,Forgot Password – Invalid Email Format,"1. User is on the Reset your password screen after clicking ""Forgot Password?""",1. Type email of invalid format ,"1. Error message is displayed 
""Invalid email format.""",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.3.6,Forgot Password – Mismatched Password and Confirm Password,User has passed OTP verification and is on the password reset screen.,"1. Enter a new password.
2. Enter a different value in Confirm Password.
3. Click RESET PASSWORD.","1. Error message is shown:
“Passwords do not match.”

2. The RESET PASSWORD button should still be disabled.",,lacking period (.),https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,Peach,9/11/26,
t1.3.7,Forgot Password – Leave Password Fields Blank,User is on the password reset screen.,"1. Leave one or more required fields (e.g., new password or confirm password) blank.
2. Click the RESET PASSWORD button.","1. The RESET PASSWORD button should still be disabled.
2. Or if the passwords were deleted, error message is displayed 

""<Password field> is required.""",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.3.8,Forgot Password – Password Too Short,User is on the Reset Password screen (after OTP verification).,"1. Enter a password with fewer than 8 characters (e.g., Abc1!).
2. Observe the validation message.","1. Error message is shown::
""Password must contain a minimum of 8 characters.""
2. The RESET PASSWORD button should still be disabled.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.3.9,Forgot Password – Password Without Uppercase Letter,User is on the Reset Password screen.,"1. Enter a password without any uppercase letters (e.g., abc123!@#).","1. Error message is shown:
""Password must include at least one uppercase letter.""
2. The RESET PASSWORD button should still be disabled.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.3.10,Forgot Password – Password Without Number,User is on the Reset Password screen.,"1. Enter a password without any numbers (e.g., Abcdef!@#).","1. Error message is shown:
""Password must include at least one number.""
2. The RESET PASSWORD button should still be disabled.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.3.11,Forgot Password – Password Without Special Character,User is on the Reset Password screen.,"1. Enter a password without any special characters (e.g., Abcdef123).","1. Error message is shown:
""Password must include at least one special character.""
2. The RESET PASSWORD button should still be disabled.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.3.12,Forgot Password – Sequential Validation of Multiple Violations,User is on the Reset Password screen.,"1. Enter a password like abc123 (less than 8 characters, no uppercase, no special character).
2. Observe the validation message displayed.
3. Fix the first validation error (e.g., make it 8 characters), then observe the next validation message.
4. Repeat until all rules are fulfilled.","1. Only one validation message is displayed at a time, depending on the first unmet condition:

• If too short → ""Password must contain a minimum of 8 characters.""
• Once length is valid, next error shown → e.g., ""Password must include at least one uppercase letter.""
• And so on, until all rules are met and no error message is shown.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.3.13,Forgot Password – Invalid OTP,"1. User has received OTP input prompt.
2. User is on the OTP Verification Screen.","1. Enter an invalid or expired OTP.
2. Click CONTINUE.","1. Error message is displayed:
“OTP is either Invalid or has expired, Please try again.”

2. User remains on OTP entry screen.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/12/26,
t1.3.14,Forgot Password – Leave OTP Blank,"1. User has received OTP input prompt.
2. User is on the OTP Verification Screen.","1. Leave the OTP field blank.
2. Click CONTINUE.","1. The CONTINUE button should still be disabled.
2. User remains on OTP entry screen.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/12/26,
